GeneID,FC0_1,FC0_2,FC0_3,FC1_1,FC1_2,FC1_3,FC3_1,FC3_2,FC3_3,FC2_1,FC2_2,FC2_3,DBM0_1,DBM0_2,DBM0_3,DBM25_1,DBM25_2,DBM25_3,DBM50_1,DBM50_2,DBM50_3,DBM75_1,DBM75_2,DBM75_3
FC1_1_k141_178_gene_103,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,18,2,0,0,4,4
FC1_1_k141_178_gene_104,0,10,18,12,12,0,8,0,2,0,2,0,2,6,6,34,14,34,168,10,46,0,10,80
FC1_1_k141_179_gene_105,2,42,22,20,4,0,30,42,32,28,44,40,94,72,14,74,88,76,16,18,118,10,18,6
FC1_1_k141_179_gene_106,40,396,496,1148,248,48,704,804,628,1638,706,2302,1228,962,232,3306,6020,1044,2134,840,3724,382,810,32
FC1_1_k141_185_gene_111,0,0,98,4508,206,482,4130,4044,3928,9290,6882,4794,2434,3832,798,3682,4604,3814,11430,4318,11512,88,174,114
FC1_1_k141_207_gene_118,96,2976,2154,14348,6312,7694,3950,5740,3618,2512,3124,6374,5582,3164,1008,8320,10856,3984,7522,3658,9150,302,7528,280
FC1_1_k141_209_gene_122,468,5250,7382,16900,4504,6612,5820,7136,5218,8666,6838,9660,7230,6720,1910,10166,13810,5700,11202,5860,11584,2344,6380,350
FC1_1_k141_209_gene_123,312,2490,2974,11352,1948,3040,2748,3462,2462,6108,2894,7420,4014,2602,816,6508,10188,2780,8612,2646,9690,1290,3078,172
FC1_1_k141_209_gene_124,988,11786,13132,18430,10248,12254,9922,12062,10568,15088,14292,16328,11002,10416,3062,13774,16602,9564,15484,10156,14256,4508,8862,562
FC1_1_k141_209_gene_125,158,1758,2694,17204,1572,2804,2548,3084,2162,7292,2722,9166,3954,2706,742,8476,14754,2484,11344,2720,10510,1580,3346,220
FC1_1_k141_209_gene_127,282,2432,2430,10968,1944,3158,2880,3364,2376,5750,3398,6618,3574,3224,886,6380,9714,2662,6716,3660,8668,1288,2686,84
FC1_1_k141_209_gene_129,510,6476,7792,14148,6392,7498,5742,6844,5616,8422,7208,9812,6496,5580,1526,9048,12138,5674,10294,5110,11546,1650,5868,360
FC1_1_k141_209_gene_130,274,3892,3832,4310,3442,4100,2472,3008,2272,2640,2740,3018,3332,2498,726,3678,4062,2194,3212,2744,6034,1152,3102,138
FC1_1_k141_209_gene_131,502,5166,8348,18398,2636,3592,4094,4852,3940,10176,5464,10984,5734,4010,950,9738,15408,4036,14282,3672,14252,2738,4864,396
FC1_1_k141_209_gene_132,218,2546,3338,16990,2194,3082,2510,3608,2998,9440,3458,11054,4064,2458,562,8644,13928,3138,14044,2494,16648,1662,3932,280
FC1_1_k141_209_gene_133,360,5388,7446,6054,5756,5976,4564,6228,4578,5032,5980,5858,4900,4120,1424,5418,5258,4062,5036,4000,8172,1600,5230,190
FC1_1_k141_217_gene_141,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
FC1_1_k141_222_gene_144,132,1444,1506,10584,1194,2356,2374,2064,1810,5596,2190,5844,3136,2730,670,6274,9870,2330,6742,2398,9444,1068,2228,140
FC1_1_k141_222_gene_145,30,280,214,4216,224,820,1010,540,550,1738,390,2570,1422,1256,412,3052,4338,1082,1842,1178,3890,558,822,18
FC1_1_k141_222_gene_146,36,448,370,4968,308,842,750,718,628,2118,540,2446,982,1012,280,2876,4546,700,2332,906,3702,496,846,36
FC1_1_k141_222_gene_147,320,3354,3604,15452,3294,4036,3566,4662,3698,9380,4060,10966,4444,3254,810,8498,13156,3610,13236,4018,11920,1998,4300,294
FC1_1_k141_229_gene_152,0,0,0,24,0,0,0,2,0,12,2,22,4,4,0,12,28,2,28,0,20,0,2,0
FC1_1_k141_229_gene_153,440,7462,6284,19530,7162,8086,6824,8042,6854,13072,9488,14444,8564,6426,1932,12150,18346,6722,14888,6024,14348,2580,6250,348
FC1_1_k141_229_gene_154,114,1244,1072,10284,1304,2192,2040,2150,1900,5440,2040,5792,3146,2326,668,6714,11318,2230,6918,2018,8256,804,1946,88
FC1_1_k141_229_gene_155,184,2090,2476,9618,2038,2936,2488,3186,2522,5802,3016,6284,3520,2750,758,5490,9298,2694,7324,2526,9074,1284,2374,184
FC1_1_k141_229_gene_156,212,2976,2846,11836,2738,3692,3434,4058,3182,7372,4018,8186,4836,3628,1106,7278,11150,3514,9858,3254,12170,1482,3248,200
FC1_1_k141_229_gene_157,138,1228,1074,9048,1034,1902,1916,2100,1618,4626,1896,4728,3254,2166,580,5602,8144,2052,5250,2126,9166,1080,2156,118
FC1_1_k141_240_gene_167,62,390,386,5046,376,762,818,972,600,1962,656,2452,1450,932,228,3324,5462,1050,2716,1048,5868,554,1038,66
FC1_1_k141_240_gene_168,226,2098,2600,11100,1616,2364,2188,2692,2254,5800,2578,7242,3246,2586,702,6632,11038,2240,9372,2140,8804,708,2088,138
FC1_1_k141_240_gene_169,318,3688,4838,8926,3854,4042,3498,4384,3556,5860,4696,6922,4428,3730,1226,6814,10130,3950,8594,3790,8748,1636,3710,208
FC1_1_k141_250_gene_173,36,158,364,604,64,54,342,364,266,226,76,596,544,252,70,894,1248,250,1576,972,5786,400,296,46
FC1_1_k141_251_gene_176,56,526,822,4948,544,1094,1060,1242,882,2346,858,2612,1788,1510,312,3228,5248,1426,3264,1216,5472,780,1136,114
FC1_1_k141_251_gene_177,54,258,332,3186,194,866,580,576,432,1310,298,1396,1236,896,216,1974,3242,818,1602,734,3956,500,520,44
FC1_1_k141_251_gene_178,82,746,890,3648,872,1396,1222,1054,800,1138,1044,1454,1778,1390,400,2224,2966,1240,1402,1658,2634,814,1186,72
FC1_1_k141_260_gene_185,102,1156,1890,3612,54,224,1424,1652,1092,4016,1842,2898,1698,1584,464,2362,3002,1118,7116,2580,11154,1362,194,120
FC1_1_k141_260_gene_186,130,762,1758,1818,60,308,2416,1854,1058,2660,1532,1458,2166,3196,988,2076,2080,1652,2904,4906,5190,1942,262,108
FC1_1_k141_268_gene_191,0,0,0,12,0,0,48,10,8,4,48,4,34,4,10,0,0,0,0,0,0,206,0,0
FC1_1_k141_277_gene_195,76,818,844,4424,876,1324,1194,1444,1142,2658,1116,3244,1848,1440,414,3290,4898,1442,4846,1250,5318,782,1586,76
FC1_1_k141_277_gene_196,110,1852,1530,6464,2604,2632,1672,2056,1886,2846,1614,4684,2926,1702,442,4736,6758,1948,2448,682,3048,672,3010,146
FC1_1_k141_277_gene_197,132,1356,1954,8592,1300,1994,1922,1980,1738,4306,1916,5526,2616,2174,632,5892,10124,2310,6050,1924,6896,472,2432,142
FC1_1_k141_277_gene_199,70,928,936,5754,1364,2056,868,1130,840,1074,848,3040,2006,1024,238,3570,5804,1168,1432,248,2310,472,2334,84
