#Taxonomy,FC0_1,FC0_2,FC0_3,FC1_1,FC1_2,FC1_3,FC3_1,FC3_2,FC3_3,FC2_1,FC2_2,FC2_3,DBM0_1,DBM0_2,DBM0_3,DBM25_1,DBM25_2,DBM25_3,DBM50_1,DBM50_2,DBM50_3,DBM75_1,DBM75_2,DBM75_3
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrimicrobium;s__Ferrimicrobium_acidiphilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721440807300997,0,6.41384232606603
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter_nonamiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus_Microthrix;s__Candidatus_Microthrix_parvicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17329057608425,0,1.98684438972872
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_massiliense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._oral_taxon_183,28.0422326152528,9.50332849291973,0.904703222424563,0,0,0,0,0,0,0,0,0,0,0,0,0.302747991127137,0.568157021331236,4.04731793691853,0.478260745153257,0,0,12.7190825076091,6.45287834779405,25.2522844499376
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_suis,1.17070844170123,2.94706264949892,0.201437826867969,0,0,0,0,0,0,1.23165136691306,0,0,0,0,0,0,0.154977216040123,0.770064265024275,0.0399329040142612,0,0.0375270858923597,4.85115940716464,2.29575385539837,20.2582975890001
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_bouchesdurhonensis,6.53893878710212,35.4542271869068,2.64828040687532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22323381635898,7.73670786745742,0.569789492497402,0,0,32.1750440138967,20.06707025,56.7853654936851
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_bovis,7.30978929452473,8.38362250508684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14481098633109,0.33244954236263,0.205176760177455,0,17.6885160942242,6.85299658327873,19.3242581959306
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_cardiffensis,93.218285457813,77.0481638067741,13.3146341268365,0,0.235191236481297,0,0,0,0,0,0,0,0,0.193440482946689,0,0.746426892747068,1.57821804933594,17.3306851837427,2.62890854239593,0.201089573719737,0.283330554830898,83.4255154566519,54.3094754726766,200.842532317718
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_coleocanis,57.2164041145216,23.8957162462353,3.65457942288061,0,0,0,0,0,0,0,0,0,0,0,0,0.629636548950504,0.338100903210457,7.57493280098297,0.854023606909068,0,0.495874266323729,37.2088763432304,25.1139683572586,72.9406628505423
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_culturomici,248.258820756508,172.5663945,22.9954891978088,0.0241402286049815,0,0.252764357734702,0,0,0.247066495631501,0,0,0,0.247497626440447,0,0,6.45302508046292,1.5205624763737,37.6896996774842,5.88857749208562,0.679168999975641,0.460404050853457,215.280394206834,113.98076636544,392.628895309062
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_dentalis,0,0,0.579416670541574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46500630558137,1.84433467020753,11.4247686500933
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_denticolens,5.99402722151028,2.89873247464969,1.031361674,0,0,0,0,0,0,0,0,0,0,0,0,0.144183730774299,0.396741673062715,0,0,0,0,6.38039792514398,5.23687055800036,11.6477794731293
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_europaeus,44.3825429962615,62.0131637857915,6.92923652839701,0,0,0,0.155767998654029,0,0,0,0,0,0,0,0,0,0.0925259100874128,10.1619393922976,2.20154001364541,0.152949948495921,0.0313952091125624,58.5551555151822,36.8941142815935,115.999119539531
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_gaoshouyii,59.891787172228,9.58125650213892,0.182219376954771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700957019545433,1.42183832844584,0.144492203924394,0,0,5.44528405478301,8.62064548410002,17.1405281158165
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_georgiae,35.0072345933535,39.6440661156874,2.38423993571978,0,0,0,0.184420974995072,0,0,0,0,0,0,0,0,0.728931215002171,0.0740189688549841,6.24857349735348,1.85186135718478,0.501177412080228,0.173619288947785,39.7767328093199,25.3840138197452,105.288725637506
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_gerencseriae,0,2.4043811429507,0.859468061303335,0.13749871876254,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75498003516599,0,0,0,11.1025019234033,6.27306520502645,23.2002880622896
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_glycerinitolerans,33.9726412256933,7.02670599360607,1.02936313059252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415436306871953,1.09261693800931,0.205534880024199,0,0,11.227611380578,5.31331592722608,23.3195579984915
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii,0,8.41031300203436,1.27702469213043,0,0,0,0,0,0,0,0,0,0,0,0,0.14066705441395,0,1.59255928320726,0.8258557330317,0,0,16.9577649447455,5.63711075020514,33.9485306411744
d__Bacteria;k__norank_d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_hominis,30.8825600580841,40.0603305054286,9.36409267512123,0,0,0,0,0,0,0,0,0,0,0,0,0.162004191881235,1.68214153447641,10.0977817369739,0.722125806995744,0.138663414845203,0,39.9580059830908,29.1870392768624,69.3284043483415
